0,Vegetable and tofu in red bean curd sauce hot pot
1,The red sign in the middle says &amp;quot;Krecipe Fried Chicken&amp;quot;
0,Sliced Chicken Breast with shredded sea cucumber in white sauce with cilantro and red pepper garni. Stylization by Paul Lewis
1,Another Coke sign being slowly uncovered on the United Way building near downtown.
9,In Norman, OK, by OU, we bear the sign outside the restaurant of Evil Jungle Chicken fame.  It Evil!
0,&lt;i&gt;With my BFF, Chicken Sandwich.  We were taking a nap in the cat tree earlier.&lt;/i&gt;
0,Chicken in the wooden pot and Fish cakes in chinese donut
0,Vegetable field irrigated by clean water
8,There was a blue ice thing in the bottle and it came in a very...Hawaiian inspired bowl.Mad for Chicken, Koreatown.
1,Red Bull and Coke cans left on overgrown telephone box in front of the Jewish cemetery on Fawcett Road in Portsmouth.
0,Cats 113 - Jimmy Tuppence watching TV as a kitten (and Numpty Chicken in the cabinet underneath)
1,Old Coke sign on the side of a building in Salida, CO
0,Salted fish and meat in claypot rice Fried prawn cake Vegetable
1,entry table decor in antinque Coke bottle crate
0,Vegetable market near Saphan Phut boat station
0,A little girl hangs on to her ice cream as she heads off on her Chicken bus in Antigua, Guatemala.
0,Chicken thighs and drumsticks browned in butter and then slowly simmered in white wine and chicken stock with carrots, celery &amp;amp; onion.
0,A plate lunch with Chicken Long Rice, Lomi-lomi salmon, Kalua pig over lettuce, Poi, and Haupia for dessert
0,Landlord of building leased for Chicken Shack in Matanao.  His hardware store is down the street from cafe.
1,Winter salt and grime on door of Coke truck in La Crosse, Wisconsin.
0,Chicken in a basket at Baghmara market
1,A snazzy neon Coke sign mounted to the wall at Bob McDorman's Chevrolet dealership in Canal Winchester, Ohio.
1,The obligatory Coke sign in South Africa - this one is also celebrating the FIFA world cup in 2010.
8,Chicken looking out of a chicken-shaped cutout in a chicken coop a few blocks from our house
9,A better pic of the Coke bottles near the left field foul pole
0,droplets of water in a Chicken And Hens plant
9,Tea Time in the High Himalayas At the road side Vegetable market Leh !
9,Chicken curry made with chicken pieces, tomatoes, and a jar of fish curry paste I found in the pantry. 02/01/2010.
1,Shelby's bird inching down a pole - she's trying to get to the Coke in Shelby's cup!
0,Two of the first dishes set down. Vegetable + chicken curry and chicken cooked in red wine.
0,Chicken, AK:  Colleen in her special chicken hat
0,Toaster reflecting Kentucky Fried Chicken bag in office kitchen, Malvern, PA, manipulated.
9,I just liked this pic of the old bike next to the Coke sign in Russian.
9,This is the view out of our window in Ozoud. Olive tree.  Orange tree and Coke cooler.
0,Chicken in the blue bowl
0,Build your own chicken. Chicken heads at a market in Bucarest, Romania.  They had chicken feet too.
1,Coke in a glass bottle
9,Vegetable Pizza at the Italian restaurant on the 2nd floor in Lotus Park, next door to Kiba Ito Yokado.
1,the perfect size bottle for soda. and Coke tastes better in glass than a can or plastic.
8,Coke can on the steps of a light blue door in a wall.
9,Finished the Coke!  It always tastes better in a glass bottle by the way.
0,Kentucky Fried Chicken - There's a cat in the tree
9,Coke is everywhere even on the offering plate in the Hindu temple in Moshi, Tanzania during the golden Jubilee celebration.
0,Chicken eating castle in ireland
0,&amp;quot;Automatic Fried Chicken Rice&amp;quot;:- The chicken and rice are prepared using a customised machine built by the owner.
0,Seasoned ground beef, Chicken, Steak, Shrimp, Chorizo . Queso Cheese, Onions, and Cactus in a stone bowl
9,The sky above the port was the color of television tuned to a Coke commercial
0,Chicken in black bean and pineapple sauce on brown rice. Yum. Made by me.
9,This is a black and white photo of the Coca Cola Bottles at the World of Coke in Atlanta Georgia.
1,Coke oven with a tree growing out of it in Sellar Park
0,Vegetable patch adjoining a house in Toyo; most houses off the main street have one.
0,Chicken of Woods closeup near base of tree
9,Large Coke Sprite sign on the side of the post office in Treutlen Co., GA
1,Coke Zero in a glass bottle
0,Greater Prairie Chicken (Tympanuchus cupido)male standing on rock taken in Lac Qui Parle county, Minnesota AprilWild
0,Solid white in water - Chicken of the sea
